31730,kêu,đổ chuông,đánh chuông,báo chuông,phát chuông
31731,nổ giòn,kêu răng rắc,kêu đen đét
31732,kêu vang,kêu ầm ĩ,tiếng reo
31733,đau,bị đau,cảm thấy đau,thấy đau
31734,liếc,liếc qua,lướt,lướt qua,xem,xem lướt,xem qua,đọc lướt,đọc lướt qua,đọc qua
31735,công diễn,trình diễn,biểu diễn
31736,bị,chịu,nhận,lĩnh,lãnh
31737,đánh,đập,gõ,gõ gõ,đập đập,gõ liên hồi,đập liên hồi
31738,chăm chú,nhìn chăm chú
31739,lấp lánh,sáng long lanh,long lanh,lóng lánh
31740,gảy,gẩy,khảy,chơi,đánh
31741,vo ve,o o,kêu vo ve,kêu o o,kêu rền
31742,ngửi,ngửi thấy,thấy mùi
31743,bị che khuất,bị che lấp
31744,đi kiếm gái,đi chơi gái,tìm kiếm bạn tình,đi tìm bạn tình
31745,phát hành,xuất bản,cho ra
31746,nổ bốp
31747,cù,chọc léc,cù nôn
31748,ngắm,ngắm nghía,ngắm nhìn
31749,bỏ,rắc,nêm,cho,bỏ đường,rắc đường,nêm đường,cho đường
31750,thả,treo,làm tung bay,làm bay phấp phới,làm cho tung bay,làm cho bay
31751,khám,xét,khám xét,xem xét,thẩm định,thẩm tra,khảo sát,nghiên cứu
31752,phát âm,phát ra,nói
31753,kiếm,kiếm tìm,tìm,tìm kiếm,đi tìm
31754,tìm ra,dò ra,tìm thấy,phát hiện ra,khám phá ra
31755,mê đắm,cuồng dại,si mê,đắm đuối,u mê,làm mụ người,làm đần độn
31756,phóng,chiếu,trình chiếu
31757,kêu lanh lảnh,kêu leng keng,kêu loảng xoảng,kêu xủng xẻng,leng keng
31758,phơi sáng
31759,dội lại,vang lại,phản chiếu,phản xạ
31760,ngắm,nhắm
31761,hun khói,xông khói,phun khói
31762,xem trước,duyệt trước
31763,phơi,hong,phơi nắng,hong nắng
31764,nếm,nếm mùi,nếm thử,nếm vị,thử,thử nếm
31765,ló,nhú,nhô
31766,kêu tưng tưng
31767,biểu lộ,lộ ra,thể hiện ra
31768,thể hiện,cho thấy,phô
31769,tìm,dò tìm,truy nguyên,truy tìm
31770,theo dõi,nhìn kĩ,chăm chú nhìn
31771,gây tiếng động,gây ồn,gây ồn ào,làm ồn,làm ồn ào
31772,chuốc lấy,gánh lấy
31773,hiện ra,xuất hiện,ló mặt ra,xuất đầu lộ diện
31774,che,phủ,che phủ,bao phủ,che đi,giấu đi,phủ đi
31775,xem,coi,theo dõi,dõi theo,quan sát
31776,phát ra âm thanh
31777,tiết lộ,bộc lộ,để lộ
31778,xem,xem phim chụp,soi thấy
31779,thình lình,xuất hiện bất ngờ,xảy ra bất ngờ,bất ngờ xuất hiện,đột nhiên xuất hiện
31780,bắn lên,văng ra,bắn tóe
31781,trải qua,chịu,chịu đựng,cam chịu
31782,bưng bít,che giấu,che đậy,giấu,giấu giếm,giấu kín,giữ kín
31783,rà,soát,rà soát,kiểm tra,xem xét
31784,làm mẫu,tạo dáng,lấy dáng,lấy tư thế
31785,biểu hiện,bộc lộ,cho thấy,thể hiện
31786,kiểm tra,thanh tra,xem xét kĩ,xem xét kỹ,xem xét kĩ lưỡng,xem xét kỹ lưỡng
31787,phát ra tiếng bình bịch
31788,giấu,che giấu,che đậy,giấu giếm,giả bộ,giả vờ
31789,nếm,nhấm nháp,thưởng thức
31790,ken két,cót két,kêu ken két,kêu cót két
31791,trợn tròn,giương mắt nhìn,trố mắt nhìn,tròn xoe mắt
31792,đánh cồng,đánh chiêng
31793,làm lóa mắt,làm chói mắt,làm hoa mắt
31794,làm nét,làm rõ nét,làm sắc nét
31795,ghê tởm,kinh tởm,chán ghét,ghét cay ghét đắng
31796,dò,dò dẫm,dò tìm,lần mò,mò mẫm
31797,nóng,bốc hỏa,nổi nóng,máu dồn lên não,nổi giận,nổi xung
31798,biến,biến mất,mất,mất dần,tan,tan biến,tiêu tan
31799,chú ý,để ý,lắng nghe,để tâm,chú tâm,lắng tai,thấy,nhận thấy
31800,thấy,trông thấy,phát hiện,nhận thấy,nhận ra,nhìn thấy
31801,sặc mùi,bốc mùi
31802,đỡ,chịu,bị,được,có
31803,nghe được,nghe trộm,nghe lén,nghe lỏm
31804,nêm,thêm gia vị,trộn nước xốt
31805,bịt mắt,che mắt,làm mù,làm mù loà,làm đui,làm đui mù
31806,kêu vo vo,kêu vo ve,kêu vù vù,kêu rì rầm
31807,làm lắng xuống,làm yên lặng,làm yên tĩnh,làm yên ắng
31808,kêu đều đều
31809,kích động,khiêu khích,kích thích,làm cho
31810,tiết lộ,để lộ,tỏ ra,biểu lộ,làm lộ ra,nói ra
31811,nhắm,khâu mắt
31812,giấu trong ngực
31813,bập bùng,chập chờn,lung linh,lấp lánh,lập lòe,nhấp nháy
31814,hiểu,thấy,biết,hiểu rõ
31815,chịu đựng,co cảm giác,có cảm tưởng,cảm thấy,kinh qua,nếm mùi,thấy,trải qua
31816,ướp gừng,tẩm gừng,cho gừng,thêm gừng
31817,bắt,bắt phải chịu,bắt phải chịu đựng
31818,nhòm,soi,quan sát,theo dõi
31819,khoe khoang,phô trương,chưng diện
31820,đổi cường độ,chuyển cường độ,thay đổi cường độ
31821,hướng,nghiêng,ghé
31822,chằm chằm,chăm chăm,nhìn chằm chằm,nhìn chăm chăm
31823,nghe trộm,nghe lén,nghe trộm điện thoại,nghe lén điện thoại
31824,nghe,nghe tin,biết tin,hay tin
31825,bắt gặp,chợt gặp,chợp thấy
31826,phát huỳnh quang
31827,đỏ bừng,đỏ rực,đỏ lên,ửng đỏ,hường lên
31828,nhìn tình ý,nhìn tình tứ,liếc tình,liếc mắt đưa tình
31829,chặn,cắt,khóa,tắt,đóng
31830,vạch,mở ra,vạch ra,vạch trần ra,để lộ ra
31831,buồn nôn,khó chịu,kinh tởm
31832,tập trung,hội tụ,tụ tiêu
31833,ửng,ửng đỏ,ửng hồng,đỏ bừng lên,bừng đỏ,hừng lên,hừng đỏ,bừng đỏ lên,hừng đỏ lên
31834,thêm hương vị vào,thêm gia vị vào,nêm gia vị vào
31835,chổng,chổng mông,quay mông,xoay mông
31836,huýt sáo,thổi sáo
31837,che,che khuất,che lấp,lấp
31838,chói sáng,sáng chói,ánh lên,lóe lên,lóe sáng
31839,thò ra,phô ra,lộ ra,khoe ra
31840,ngân,hò,rú,gầm,hú,hét,vang,vang rền,vang lên,ngân vang,la
31841,hóa trang,giả trang,cải trang,giả mạo,giả dạng
31842,giám sát,theo dõi,kiểm tra,kiểm soát
31843,va lập cập,va cầm cập
31844,thể hiện,bộc lộ,trưng bày,khoe,phô bày,triển lãm,trưng ra,phô ra,bày ra
31845,tỏa,tỏa hương,lan tỏa
31846,làm điếc tai,làm inh tai,làm chói tai
31847,mặc làm mẫu,mặc mẫu quần áo,mặc quần áo làm mẫu
31848,nhìn thấy,quan sát,thấy,trông thấy,xem,xem xét
31849,nhạy cảm,dễ cảm động,dễ xúc động
31850,không hiểu,không thấy,không nghe,không nắm được
31851,thấy,cảm thấy,cảm nhận,phát hiện,có cảm giác,có cảm tưởng
31852,phản xạ,phản hồi,bức xạ
31853,làm tê,làm tê liệt,làm tê cứng,làm tê cóng,làm tê dại
31854,muối,ướp muối,rắc muối,thêm muối,nêm muối
31855,để ý,chú ý,lưu ý,chú tâm,chuyên chú,chuyên tâm
31856,thấy nhói,thấy đau nhói,thấy nhói đau
31857,làm điếc tai,làm nhức tai,làm đau tai,làm đau nhức tai
31858,cảm giác,cảm nhận,cảm thấy,thấy
31859,kêu chói tai,kêu the thé,kêu rít lên,kêu lanh lảnh,kêu thất thanh
31860,soi mói,xoi bói,xói móc,nhúng mũi,chõ mũi,tọc mạch,gí mũi,chõ mõm
31861,khuất,che khuất,che lấp
31862,quan sát,nhận xét,theo dõi
31863,rung,rung chuông,đánh,đánh chuông
31864,xem,coi,nhìn,theo dõi,quan sát
31865,bịt miệng,bịt mồm,khóa miệng,khóa mồm
31866,chiếu lấp lánh,chiếu lóng lánh,chiếu óng ánh
31867,khua,vung,múa
31868,rì rào,róc rách
31869,lờ,bơ,phớt,lơ,phớt lờ,phớt đi,bơ đi
31870,giết,giết chết,làm chết,diệt
31871,đưa đến,phơi ra,phô ra,phơi bày ra
31872,chịu,chịu đựng,hứng chịu,gánh chịu
31873,chiếu tia x,chụp hình x quang,chụp tia x,chụp x quang
31874,an giấc nghìn thu,an giấc ngàn thu,băng hà,bỏ mạng,chết,hi sinh,khuất núi,mất,nghẻo,ngỏm,ngỏm củ tỏi,ngủm,ngủm củ tỏi,nhắm mắt xuôi tay,qua đời,ra đi,thiệt mạng,thăng,tiêu đời,toi,trầu trời,tạ thế,tắt thở,tẻo,từ trần,tử mạng,tử trận,tử vong,viên tịch,về cõi vĩnh hằng,về nơi chín suối,về trời,xuống lỗ,xuống suối vàng,đi
31875,phành phạch,nổ phành phạch,bình bịch,nổ bình bịch
31876,khảo sát,tìm hiểu,nghiên cứu
31877,coi nhẹ,nhìn qua,xem qua
31878,kìm,hãm,nén,kìm nén,kìm hãm,chứa chấp,ấp ủ,nuôi dưỡng,kìm lại,hãm lại,nén lại,kìm nén lại,kìm hãm lại
31879,làm cho kêu,thổi,đánh
31880,lên đỉnh,thăng hoa,đạt khoái cảm,đạt cực khoái
31881,nhìn quanh,đảo quanh,đảo mắt quanh,đưa mắt quanh
31882,trông nom,giám sát,canh gác,bảo vệ
31883,chà,xát,cọ,cạ,chà xát,cọ xát
31884,dò,chỉnh,tìm,dò tìm,chỉnh sóng,tìm sóng,dò đài,dò kênh,dò sóng
31885,thể hiện rõ,biểu hiện rõ,cho thấy rõ,phản ánh
31886,gợi,nhắc,gợi nhắc,nhắc đến,có vẻ
31887,gào thét,hét lên,kêu thất thanh,kêu inh ỏi
31888,kêu răng rắc,kêu lộp bộp,kêu lép bép,kêu tanh tách
31889,phủ đường,bọc đường,tráng đường,tẩm đường,ướp đường,ngâm đường
31890,chiếu chói lọi
31891,gãi,cào,cọ
31892,làm rùng mình,làm giật mình,làm run lên,khiến rùng mình,khiến giật mình,khiến run lên
31893,dội,vang dội,dội tiếng,dội lại
31894,xô,đâm sầm,xô ầm ầm
31895,kêu tanh tách,kêu tách tách,kêu răng rắc
31896,rắc tiêu vào,thêm tiêu vào
31897,chứng kiến,thấy,xem,nhận thấy,xét thấy
31898,đổi vị,đổi hương vị,thay đổi hương vị
31899,thổi bóng
