18050,ban,xu ban,xu Moldova
18051,đơn vị đo độ nhớt
18233,đơn vị thể tích,đơn vị dung tích,đơn vị đo sức chứa,đơn vị đo thể tích,đơn vị đo dung tích,đơn vị khối
18234,lượng lớn không xác định
18235,lượng tối thiểu,mức tối thiểu,lượng thấp nhất,mức thấp nhất,số lượng tối thiểu,số lượng thấp nhất
18236,apothecaries unit,apothecaries weight,đơn vị đong thuốc
18237,candle,candela,cd,candle tiêu chuẩn
18238,gậy,gạy,cú đánh,cú gạy,stroke
18239,bảng Ai Cập,pound Ai Cập,đồng bảng Ai Cập,đồng pound Ai Cập
18240,cara,carat
18241,số bị nhân
18242,yard khối,thước khối,thước khối Anh
18243,hiệu số,số dư,số thừa
18244,dặm,dặm Anh
18245,pint,panh,panh khô
18246,đơn vị thể tích khô,đơn vị đo hàng khô,đơn vị thể tích hàng khô
18247,đơn vị điện lượng
18248,đơn vị trọng lượng,đơn vị đo trọng lượng
18249,phân số thập phân,số thập phân
18250,lạng,gam,gram,gm,g
18251,li,ly,ly nhỏ,ly nhỏ,li rượu nhỏ,ly rượu nhỏ,shot
18252,hai,2,II,số 2,số hai,đôi,cặp
18253,culông,C,ampe giây,coulomb
18254,phân vùng,partition
18255,phơi sáng,độ lộ sáng
18256,em,em quad,mutton quad
18257,độ cồn,đơn vị độ cồn,proof
18258,mon,phân tử khối,mol,phân tử gam
18259,đồng Lebanon,bảng Lebanon,đồng Li-băng,bảng Li-băng
18260,bình,bình nước,ca
18261,đơn vị điện thế
18262,số nhân
18263,lượng đủ,số lượng đủ
18264,par,số gậy chuẩn
18265,điểm hơn thua,số điểm hơn thua,số điểm quyết định
18266,chín,9,IX,số 9,số chín
18267,rổ,rá
18268,luồng
18269,bước,bước chân
18270,chừng,cỡ,khoảng,phạm vi,trong khoảng,trong phạm vi,vào khoảng,vào độ,độ
18271,ba,3,III,tam
18272,thập phân,số thập phân
18273,tỉ,tỷ,một tỉ,một tỷ,1000000000,1.000.000.000
18274,Mác,đồng Mác Đức
18275,real,đồng real,đồng rin
18276,kurus,piaster,piastre
18277,số hữu tỉ,số hữu tỷ
18278,số nguyên
18279,bảng Xi-ri,pound Xi-ri,đồng bảng Xi-ri,đồng pound Xi-ri
18280,đơn vị độ dài hàng hải,đơn vị đo độ dài hàng hải
18281,số,chữ số,con số
18282,đơn vị,đơn vị đo
18283,đơn vị diện tích,đơn vị đo diện tích,điện vị diện tích
18284,watt,oát,W
18285,phot,phốt
18286,lũy thừa ba
18287,năm ánh sáng
18288,đơn vị công,đơn vị nhiệt,đơn vị năng lượng
18289,số siêu việt
18290,phân số thường,phân số đơn giản
18291,ampe,am-pe,amp,A,ampere
18292,tám,8,VIII,bát
18293,số nguyên tố
18294,lượng chứa được
18295,nghìn,ngàn,một nghìn,một ngàn,1000,1.000
18296,Hệ đo lường quốc tế,hệ đo lường quốc tế,Hệ thống đo lường quốc tế,hệ thống đo lường quốc tế,hệ đo quốc tế,hệ SI,SI
18297,tạ
18298,Ben,B
18299,đô la,dollar,đô
18300,phút,cung phút
18301,ước,ước số
18302,barơ,bar
18303,đơn vị thiên văn
18304,gang,gang tay
18305,phần,lượng
18306,phân số
18307,đơn vị độ dài,đơn vị chiều dài,đơn vị đo độ dài,đơn vị đo chiều dài
18308,tiền Mô-đô-va,đơn vị tiền Mô-đô-va
18309,đơn vị khối lượng,đơn vị đo khối lượng
18310,lượng nhỏ không xác định
18311,can
18312,bảy,bẩy,7,VII,thất
18313,mét,m
18314,hào
18315,nybble,nibble,cụm bốn bite,cụm bốn bít,nửa byte,nửa bai
18316,số nguyên lớn
18317,mớ,lô,mẻ,chồng,tập,bộn,con chồn
18318,giá,mức giá,giá trị
18319,hệ đo thông tin,đo lường thông tin,hệ thống đo lường thông tin
18320,đơn vị chất lỏng,đơn vị đo chất lỏng,đơn vị đo thể tích chất lỏng
18321,giá trị tuyệt đối,môđun,mô đun,mô-đun
18322,franc,phờ răng,đồng franc,đồng phờ răng
18323,đơn vị chiều dài hệ mét,đơn vị đo chiều dài hệ mét
18324,đơn vị tiền tệ Ai Cập,tiền Ai Cập
18325,nhấp,hớp,hụm,ngụm
18326,đơn vị hệ mét,đơn vị của hệ mét
18327,cơ số
18328,đơn vị tiền tệ Việt Nam,tiền Việt
18329,mẫu số,mẫu thức,mẫu
18330,đơn vị tiền tệ Đức,tiền Đức
18331,đơn vị đo cường độ dòng điện
18332,đa số,phần đông,phần lớn
18333,đơn vị lực,đơn vị đo lực
18334,tiền Síp,đơn vị tiền Síp
18335,nửa chai,đầy chai
18336,column inch,cột quảng cáo
18337,tiền Nhật,đơn vị tiền tệ Nhật,đơn vị tiền tệ Nhật Bản
18338,thừa số
18339,số phức
18340,số hàng in,linage
18341,tổng,tổng cộng,tổng số
18342,một phần tư,quarter,quarter Anh
18343,calorie,kilô calo,kilocalorie,calorie đại
18344,mười,10,X,số mười,chục,thập
18345,lambert,L,lam-be,đơn vị đo độ sáng
18346,bình phương,mũ hai,lũy thừa bậc hai,bình
18347,erg,éc
18348,tiền Bra-xin,đơn vị tiền tệ Brazil
18349,đơn vị cường độ từ
18350,số bị trừ
18351,tấn,MT,t
18352,đơn vị góc,đơn vị đo góc
18353,đơn vị tiền,đơn vị tiền tệ
18354,dặm vuông,dặm vuông Anh
18355,số La Mã
18356,11,mười một,số mười một,XI
18357,23,hai mươi ba,số hai mươi ba,XXIII
18358,40,bốn mươi,số bốn mươi,XL
18359,33,ba mươi ba,số ba mươi ba,XXXIII
18360,90,chín mươi,số chín mươi,XC
18361,80,tám mươi,số tám mươi,LXXX
18362,5000,năm nghìn
18363,mười triệu,chục triệu,10000000
18364,đề-ca-mét vuông,dam2
18365,đề-xi-mét,dm
18366,đề-xi-mét vuông,dm2
18367,hàng chục nghìn,hàng 10 nghìn,vài chục nghìn
18368,hàng chục,hàng 10,vài chục
18369,hàng chục triệu,hàng 10 triệu,vài chục triệu
18370,hàng trăm nghìn,hàng 100 nghìn,vài trăm nghìn
18371,héc-tô-gam,hg
18372,héc-tô-mét,hm
18373,héc-tô-mét vuông,hm2
18374,ki-lô-mét vuông,km2
18375,mẫu số bé,mẫu bé,mẫu số nhỏ
18376,mẫu số lớn,mẫu lớn,mẫu số to
18377,số bé,số nhỏ
18378,số lớn,số to
18379,số liền trước,Số đứng trước,Số đằng trước,số ở trước,số kề trước
18380,xăng-ti-mét-vuông,cm2,centimet vuông,cen-ti-mét vuông,xen-ti-mét vuông
