word_id,word,synset_id,pos,gloss
32171,hình phối cảnh,10206,noun.attribute,khái niệm chỉ kỹ thuật vẽ hình
32174,sự bất lực,10207,noun.attribute,khái niệm chỉ tình trạng không đủ khả năng
32177,sự công bằng,10208,noun.attribute,khái niệm chỉ sự bình đẳng giữa mọi người
32180,phép đối xứng,10209,noun.attribute,khái niệm chỉ sự cân bằng về hình dạng không gian
32181,tính đối xứng,10209,noun.attribute,khái niệm chỉ sự cân bằng về hình dạng không gian
32182,sự đối xứng,10209,noun.attribute,khái niệm chỉ sự cân bằng về hình dạng không gian
32184,tính chất sáng tạo,10210,noun.attribute,khái niệm chỉ tính chất đặc biệt và mới lạ
32185,tính chất mới mẻ,10210,noun.attribute,khái niệm chỉ tính chất đặc biệt và mới lạ
32191,mây khói,10213,noun.attribute,khái niệm chỉ hiện tượng khí bị đốt cháy
32193,tài phán đoán,10214,noun.attribute,khái niệm chỉ khả năng suy xét và đánh giá thông tin
32199,sự già,10216,noun.attribute,khái niệm chỉ quá trình lão hóa của con người
32201,sự lớn tuổi,10216,noun.attribute,khái niệm chỉ quá trình lão hóa của con người
32206,sự hiểu biết,10217,noun.attribute,khái niệm chỉ sự hiểu biết về mọi thứ
32216,tính di truyền,10222,noun.attribute,khái niệm chỉ đặc điểm sinh học được truyền từ thế hệ này sang thế hệ khác
32217,thuộc tính di truyền,10222,noun.attribute,khái niệm chỉ đặc điểm sinh học được truyền từ thế hệ này sang thế hệ khác
32218,sự di truyền,10222,noun.attribute,khái niệm chỉ đặc điểm sinh học được truyền từ thế hệ này sang thế hệ khác
32219,sự không tương ứng,10223,noun.attribute,khái niệm chỉ tình trạng không phù hợp
32221,trọng lượng riêng,10225,noun.attribute,khái niệm chỉ khối lượng của vật trên đơn vị thể tích
32222,tỉ trọng,10225,noun.attribute,khái niệm chỉ khối lượng của vật trên đơn vị thể tích
32232,chói lọi,10229,noun.attribute,khái niệm chỉ vẻ đẹp lộng lẫy
32233,sự chói lọi,10229,noun.attribute,khái niệm chỉ vẻ đẹp lộng lẫy
32238,phẩm chất,10230,noun.attribute,khái niệm chỉ đặc điểm của con người
32241,tính chất không thay đổi,10231,noun.attribute,khái niệm chỉ sự ổn định không thay đổi
