word_id,word,synset_id,pos,gloss
83,lừa,18,adj,tính chất cố ý tạo niềm tin sai lệch ở người khác
320,có thể thấy rõ,55,adj,tính chất dễ dàng nhận biết bằng giác quan
335,được làm cho bớt,57,adj,"tính chất bớt căng thẳng, khó chịu về mặt cảm xúc hoặc thể chất"
395,có tài năng,70,adj,tính chất hơn hẳn so với mức bình thường về khả năng
466,có lông tơ,85,adj,tính chất có sợi nhỏ mềm bao phủ da động vật
471,bị cưa ngắn,88,adj,tính chất có chiều dài hoặc thời gian nhỏ hơn ban đầu
563,dễ kích thích,114,adj,tính chất dễ nổi giận trước tác động bên ngoài
612,lớn,127,adj,tính chất vượt trội về vị trí hoặc trình độ
642,để phòng vệ,134,adj,tính chất sẵn sàng chống lại nguy hiểm có thể xảy ra
649,phía gió,137,adj,tính chất ở hướng mà gió đang thổi đến
663,có bề mặt trơn,139,adj,"tính chất bề mặt mịn, phản chiếu ánh sáng tốt"
740,mỏng manh,152,adj,tính chất thiếu thốn về số lượng hoặc chất lượng
867,dạng sin,186,adj,tính chất lặp đi lặp lại theo chu kỳ ổn định
947,có tinh thần,204,adj,"tính chất tràn đầy năng lượng, sẵn sàng hành động"
1012,chồng chất,215,adj,tính chất nhiều vật nằm lên nhau tạo thành đống
1021,có màu xám,218,adj,tính chất mang màu sắc trung gian giữa trắng và đen
1064,đui mắt,225,adj,tính chất mất khả năng nhìn bằng mắt hoàn toàn
1169,gọi là mềm,251,adj,tính chất không cứng cáp hoàn toàn khi chạm vào
1271,có tài xử trí,277,adj,tính chất khéo léo trong giao tiếp và giải quyết vấn đề
1371,có ý nghĩa,301,adj,tính chất mang lại lợi ích hoặc tầm ảnh hưởng lớn
1621,sợ,353,adj,tính chất cảm thấy bất an trước điều có thể xảy ra
1636,được cầy bừa,355,adj,tính chất đất tơi xốp sau khi làm đồng
1649,dân sự,358,adj,"tính chất thuộc về người dân, không liên quan quân đội, chính phủ"
1657,được gói ghém,359,adj,"tính chất được che phủ, bảo vệ bằng lớp vật liệu bên ngoài"
1659,được gói ghém lại,359,adj,"tính chất được che phủ, bảo vệ bằng lớp vật liệu bên ngoài"
1672,không đáng,365,adj,tính chất thiếu giá trị so với sự kỳ vọng
1713,được cứu,375,adj,tính chất thoát khỏi nguy hiểm nhờ sự giúp đỡ
1876,dễ nắn,409,adj,tính chất dễ thay đổi theo tác động bên ngoài
2010,cùng,438,adj,"tính chất không có gì khác, giống hoàn toàn"
2066,xấu nhất,447,adj,tính chất đạt mức độ gây khó chịu cao nhất
2151,mong manh,468,adj,"tính chất dễ bị tổn thương, không bền vững"
2214,có trách nhiệm,485,adj,tính chất gánh vác việc được giao một cách cẩn trọng
2244,không chuẩn bị trước,492,adj,tính chất thiếu sự sửa soạn cho một việc
2246,có kiến thức nông cạn,493,adj,tính chất thiếu kinh nghiệm và kỹ năng cần thiết trong công việc
2300,tối,498,adj,tính chất kém khả năng tiếp nhận và xử lý thông tin
2331,bị bổ,502,adj,tính chất chia tách vật thành nhiều phần bằng lực
2440,không sống động,523,adj,tính chất thiếu sức sống hoặc năng lượng tự nhiên
2490,sinh đôi cùng trứng,534,adj,tính chất cùng phát triển từ một lần sinh nở
2558,không đáng tin,550,adj,tính chất gây ra cảm giác nghi ngờ về sự thật
