word_id,word,synset_id,pos,gloss
66474,huyện Hưng Nhân,23752,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66476,huyện Hớn Quản,23753,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66480,huyện Hương Phú,23755,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66482,huyện Lái Thiêu,23756,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66484,huyện Kim Thanh,23757,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66486,huyện Lâm Thao,23758,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66494,huyện Nam Thanh,23762,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66498,huyện Ninh Thanh,23764,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66504,huyện Nước Hai,23767,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66508,huyện Phước Bình,23769,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66514,huyện Thiệu Yên,23772,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66516,huyện Sông Thao,23773,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66535,Văn Yên,23783,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66536,huyện Văn Yên,23783,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66538,huyện Vũ Tiên,23784,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66545,huyện Châu Thành,23788,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện
66547,huyện đão Cồn Cỏ,23789,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện đảo
66548,Bạch Long Vĩ,23790,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện đảo
66564,huyện đảo Phú Quý,23795,noun.tops,khái niệm chỉ đơn vị hành chính cấp huyện đảo
66565,kế hoạch 34A,23796,noun.tops,khái niệm chỉ kế hoạch quân sự của Mỹ
66566,kế hoạch chiến lược hai năm 1975 - 1976,23797,noun.tops,khái niệm chỉ kế hoạch quân sự của Mỹ giai đoạn 1975 1976
66567,kế hoạch Nava,23798,noun.tops,khái niệm chỉ kế hoạch quân sự của Pháp
66568,kế hoạch Hải Yến,23799,noun.tops,khái niệm chỉ kế hoạch tình báo song phương Việt Mỹ
66569,Kế hoạch tình báo song phương Việt - Mĩ,23799,noun.tops,khái niệm chỉ kế hoạch tình báo song phương Việt Mỹ
66571,kênh nhà Lê,23801,noun.tops,khái niệm chỉ con kênh do nhà Lê xây dựng
66587,thành Lam Kinh,23811,noun.tops,khái niệm chỉ kinh đô thời nhà Hậu Lê
66609,làng Hành Thiện,23820,noun.tops,khái niệm chỉ làng cổ có truyền thống hiếu học
66611,làng cổ Đường Lâm,23821,noun.tops,khái niệm chỉ làng cổ nổi tiếng ở Sơn Tây
66612,làng Đường Lâm,23821,noun.tops,khái niệm chỉ làng cổ nổi tiếng ở Sơn Tây
66613,làng nghề gốm,23822,noun.tops,khái niệm chỉ làng chuyên sản xuất đồ gốm
66614,làng nghề,23823,noun.tops,khái niệm chỉ làng truyền thống có nghề riêng
66620,làng gốm Thổ Hà,23826,noun.tops,khái niệm chỉ làng chuyên sản xuất gốm ở Bắc Giang
66621,Lăng Chủ tịch Hồ Chí Minh,23827,noun.tops,khái niệm chỉ công trình lưu giữ thi hài Hồ Chí Minh
66625,Lăng Đồng Khánh,23829,noun.tops,khái niệm chỉ lăng mộ của vua Đồng Khánh
66629,Ưng lăng,23831,noun.tops,khái niệm chỉ lăng mộ của vua Khải Định
66632,Thiên Thọ lăng,23833,noun.tops,khái niệm chỉ lăng mộ của vua Gia Long
66636,Lăng Thiệu Trị,23835,noun.tops,khái niệm chỉ lăng mộ của vua Thiệu Trị
66637,Xương lăng,23835,noun.tops,khái niệm chỉ lăng mộ của vua Thiệu Trị
66638,Lăng Nguyễn Diễn,23836,noun.tops,khái niệm chỉ lăng mộ của Nguyễn Diễn
66639,lăng Hồng Vân,23836,noun.tops,khái niệm chỉ lăng mộ của Nguyễn Diễn
